Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS
Mar-2023,3759.01,945.39,25.15,90.56,19.95,119.55,896.45,938.3,191.49
Jun-2023,3933.97,1016.14,25.83,64.25,15.51,147.17,917.71,918.34,187.42
Sep-2023,4028.03,1080.72,26.83,81.5,19.0,137.85,1005.37,1016.25,207.4
Dec-2023,4144.89,1128.65,27.23,93.28,15.87,142.02,1064.04,1101.79,224.86
Mar-2024,4260.23,1143.02,26.83,92.4,18.57,154.83,1062.02,1072.19,218.81
Jun-2024,4316.66,1165.07,26.99,84.94,17.52,152.07,1080.42,1101.46,224.79
Sep-2024,4186.47,1098.53,26.24,71.37,20.82,142.96,1006.12,1100.33,224.56
Dec-2024,4846.76,1218.48,25.14,96.49,19.93,145.47,1149.57,1170.5,238.88
Mar-2025,4894.34,1220.16,24.93,91.64,21.42,151.35,1139.03,1161.92,237.13
Jun-2025,4945.61,1216.13,24.59,97.79,25.51,183.45,1104.96,1205.22,245.96
Sep-2025,6092.95,1507.4,24.74,113.69,25.83,214.74,1380.52,1369.45,279.48
Dec-2025,6036.28,1539.86,25.51,141.12,34.52,223.11,1423.35,1420.61,289.92
