Period,Sales,Operating_Profit,OPM_Percent,Other_Income,Interest,Depreciation,Profit_Before_Tax,Net_Profit,EPS,Profit_Trend,Sales_Growth,Net_Profit_Growth
Mar-2023,3759.01,945.39,25.15,90.56,19.95,119.55,896.45,938.3,191.49,Profit Grew,,
Jun-2023,3933.97,1016.14,25.83,64.25,15.51,147.17,917.71,918.34,187.42,Profit Declined,4.654416987451482,-2.127251412128306
Sep-2023,4028.03,1080.72,26.83,81.5,19.0,137.85,1005.37,1016.25,207.4,Profit Grew,2.3909689194376194,10.661628590718042
Dec-2023,4144.89,1128.65,27.23,93.28,15.87,142.02,1064.04,1101.79,224.86,Profit Grew,2.90117005086854,8.417220172201723
Mar-2024,4260.23,1143.02,26.83,92.4,18.57,154.83,1062.02,1072.19,218.81,Profit Declined,2.7827035216857254,-2.68653736192922
Jun-2024,4316.66,1165.07,26.99,84.94,17.52,152.07,1080.42,1101.46,224.79,Profit Grew,1.324576372637165,2.7299265988304233
Sep-2024,4186.47,1098.53,26.24,71.37,20.82,142.96,1006.12,1100.33,224.56,Profit Declined,-3.0159892138829414,-0.10259110634975865
Dec-2024,4846.76,1218.48,25.14,96.49,19.93,145.47,1149.57,1170.5,238.88,Profit Grew,15.77199884389473,6.377177755764185
Mar-2025,4894.34,1220.16,24.93,91.64,21.42,151.35,1139.03,1161.92,237.13,Profit Declined,0.9816867350559866,-0.7330200768902118
Jun-2025,4945.61,1216.13,24.59,97.79,25.51,183.45,1104.96,1205.22,245.96,Profit Grew,1.0475365422099703,3.726590470944635
Sep-2025,6092.95,1507.4,24.74,113.69,25.83,214.74,1380.52,1369.45,279.48,Profit Grew,23.19916046756618,13.626557806873429
Dec-2025,6036.28,1539.86,25.51,141.12,34.52,223.11,1423.35,1420.61,289.92,Profit Grew,-0.9300913350675843,3.7358063456131907
